ID,时间,分类,二级分类,类型,金额,币种,账户1,账户2,备注,已报销,手续费,优惠券,记账者,账单标记,标签,账单图片,关联账单
qj17748980353526608,2026-03-31 11:00:00,股票基金,余额宝,收入,8.83,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj17749142454763808,2026-03-31 07:44:05,股票基金,黄金,收入,105.66,CNY,华安黄金,,平账(6452.11 ~ 6557.77),,,,明月前身,不计收支,,,
qj17748070084461018,2026-03-30 19:20:00,其它,,转账,200.0,CNY,3.余额宝,爱你老己幸福基金（虚拟）,,,,,明月前身,,,,
qj1774867029384131691,2026-03-30 18:36:56,自我投资,体验,支出,25.0,CNY,微信钱包👛,,投影会员,,,,明月前身,,,,
qj1774866937945144519,2026-03-30 18:35:31,收红包,,收入,50.0,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1774863846302164752,2026-03-30 17:44:03,日常生活,通勤,支出,6.04,CNY,3.余额宝,,,,,,明月前身,,,,
qj1774853128933181278,2026-03-30 14:45:21,日常生活,通勤,支出,6.68,CNY,3.余额宝,,,,,,明月前身,,,,
qj1774840217824150377,2026-03-30 11:10:14,日常生活,通勤,支出,7.38,CNY,3.余额宝,,,,,,明月前身,,,,
qj17748086889828936,2026-03-30 11:00:00,股票基金,余额宝,收入,8.79,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1774838901602164303,2026-03-30 10:48:12,其它,,支出,40.0,CNY,3.余额宝,,补办身份证,,,,明月前身,,,,
qj1774838107506188413,2026-03-30 10:35:04,日常生活,通勤,支出,7.72,CNY,3.余额宝,,,,,,明月前身,,,,
qj1774831086970116467,2026-03-30 08:37:59,日常生活,通勤,支出,12.69,CNY,3.余额宝,,,,,,明月前身,,,,
qj1774788167042122444,2026-03-29 20:42:23,日常享受😎,零食,支出,6.48,CNY,3.余额宝,,冰淇淋,,,,明月前身,,,,
qj1774772565608163371,2026-03-29 16:22:34,自我投资,体验,支出,373.36,CNY,3.余额宝,,拉直头发,,,,明月前身,,,,
qj17747186262295180,2026-03-29 11:00:00,股票基金,余额宝,收入,8.81,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1774694957019181755,2026-03-28 18:49:02,感情,亲朋🏠👭,支出,2.92,CNY,爱你老己幸福基金（虚拟）,,弟弟冰淇淋,,,,明月前身,,,,
qj1774694819690123743,2026-03-28 18:46:55,日常享受😎,打车,支出,8.8,CNY,3.余额宝,,,,,,明月前身,,,,
